date,avg_vulgar_tweets,avg_control_tweets,norm_tweets
2013-04-01,88.7619047619048,12,7.3968253968254
2013-04-02,137.428571428571,90,1.52698412698413
2013-04-03,118.238095238095,93,1.27137736815156
2013-04-04,48.7142857142857,34,1.4327731092437
2013-04-05,109.380952380952,80,1.3672619047619
2013-04-06,7.52380952380952,5,1.5047619047619
2013-04-07,98.3333333333333,69,1.42512077294686
2013-04-08,139.428571428571,88.5,1.57546408393866
2013-04-09,137.142857142857,107.5,1.27574750830565
2013-04-10,135.666666666667,94,1.44326241134752
2013-04-11,152.380952380952,108,1.41093474426808
2013-04-12,184.047619047619,141,1.30530226274907
2013-04-13,179.857142857143,141,1.27558257345491
2013-04-14,178.142857142857,151.5,1.17586044318718
2013-04-15,181.285714285714,126.5,1.43308865047995
2013-04-16,152,104,1.46153846153846
2013-04-17,105.285714285714,68.5,1.53701772679875
2013-04-18,180.333333333333,134.5,1.34076827757125
2013-04-19,3.66666666666667,5.5,0.666666666666667
